2022-05-07 12:44:43, laser,001.156, uwb,001.050
2022-05-07 12:44:43, laser,001.173, uwb,001.080
2022-05-07 12:44:43, laser,001.187, uwb,001.030
2022-05-07 12:44:43, laser,001.202, uwb,001.000
2022-05-07 12:44:43, laser,001.228, uwb,001.020
2022-05-07 12:44:44, laser,001.240, uwb,001.000
2022-05-07 12:44:44, laser,001.257, uwb,001.040
2022-05-07 12:44:44, laser,001.269, uwb,001.060
2022-05-07 12:44:44, laser,001.302, uwb,001.090
2022-05-07 12:44:44, laser,001.325, uwb,001.150
2022-05-07 12:44:44, laser,001.345, uwb,001.140
2022-05-07 12:44:44, laser,001.390, uwb,001.180
2022-05-07 12:44:45, laser,001.413, uwb,001.200
2022-05-07 12:44:45, laser,001.439, uwb,001.230
2022-05-07 12:44:45, laser,001.462, uwb,001.260
2022-05-07 12:44:45, laser,001.516, uwb,001.290
2022-05-07 12:44:45, laser,001.544, uwb,001.340
2022-05-07 12:44:45, laser,001.570, uwb,001.340
2022-05-07 12:44:45, laser,001.599, uwb,001.380
2022-05-07 12:44:45, laser,001.656, uwb,001.380
2022-05-07 12:44:45, laser,001.685, uwb,001.390
2022-05-07 12:44:46, laser,001.712, uwb,001.460
2022-05-07 12:44:46, laser,001.740, uwb,001.490
2022-05-07 12:44:46, laser,001.793, uwb,001.570
2022-05-07 12:44:46, laser,001.825, uwb,001.610
2022-05-07 12:44:46, laser,001.855, uwb,001.660
2022-05-07 12:44:46, laser,001.885, uwb,001.710
2022-05-07 12:44:46, laser,001.948, uwb,001.730
2022-05-07 12:44:46, laser,001.979, uwb,001.740
2022-05-07 12:44:47, laser,002.009, uwb,001.800
2022-05-07 12:44:47, laser,002.045, uwb,001.830
2022-05-07 12:44:47, laser,002.109, uwb,001.870
2022-05-07 12:44:47, laser,002.146, uwb,001.910
2022-05-07 12:44:47, laser,002.176, uwb,002.000
2022-05-07 12:44:47, laser,002.244, uwb,002.050
2022-05-07 12:44:47, laser,002.279, uwb,002.060
2022-05-07 12:44:47, laser,002.310, uwb,002.100
2022-05-07 12:44:48, laser,002.346, uwb,002.140
2022-05-07 12:44:48, laser,002.414, uwb,002.190
2022-05-07 12:44:48, laser,002.448, uwb,002.170
2022-05-07 12:44:48, laser,002.486, uwb,002.210
2022-05-07 12:44:48, laser,002.518, uwb,002.290
2022-05-07 12:44:48, laser,002.594, uwb,002.330
2022-05-07 12:44:48, laser,002.633, uwb,002.350
2022-05-07 12:44:49, laser,002.670, uwb,002.420
2022-05-07 12:44:49, laser,002.707, uwb,002.460
