2022-05-07 13:00:44, laser,001.102, uwb,001.010
2022-05-07 13:00:44, laser,001.109, uwb,001.050
2022-05-07 13:00:44, laser,001.117, uwb,001.030
2022-05-07 13:00:45, laser,001.125, uwb,001.000
2022-05-07 13:00:45, laser,001.143, uwb,000.980
2022-05-07 13:00:45, laser,001.152, uwb,001.020
2022-05-07 13:00:45, laser,001.162, uwb,001.020
2022-05-07 13:00:45, laser,001.173, uwb,001.040
2022-05-07 13:00:45, laser,001.199, uwb,001.030
2022-05-07 13:00:45, laser,001.214, uwb,001.030
2022-05-07 13:00:45, laser,001.235, uwb,001.000
2022-05-07 13:00:46, laser,001.253, uwb,001.040
2022-05-07 13:00:46, laser,001.303, uwb,001.060
2022-05-07 13:00:46, laser,001.330, uwb,001.080
2022-05-07 13:00:46, laser,001.362, uwb,001.110
2022-05-07 13:00:46, laser,001.429, uwb,001.130
2022-05-07 13:00:46, laser,001.464, uwb,001.150
2022-05-07 13:00:46, laser,001.502, uwb,001.240
2022-05-07 13:00:46, laser,001.537, uwb,001.300
2022-05-07 13:00:47, laser,001.612, uwb,001.360
2022-05-07 13:00:47, laser,001.651, uwb,001.400
2022-05-07 13:00:47, laser,001.690, uwb,001.390
2022-05-07 13:00:47, laser,001.730, uwb,001.420
2022-05-07 13:00:47, laser,001.808, uwb,001.460
2022-05-07 13:00:47, laser,001.850, uwb,001.520
2022-05-07 13:00:47, laser,001.890, uwb,001.590
2022-05-07 13:00:47, laser,001.931, uwb,001.740
2022-05-07 13:00:48, laser,002.013, uwb,001.770
2022-05-07 13:00:48, laser,002.055, uwb,001.790
2022-05-07 13:00:48, laser,002.094, uwb,001.840
2022-05-07 13:00:48, laser,002.134, uwb,001.890
2022-05-07 13:00:48, laser,002.214, uwb,002.010
2022-05-07 13:00:48, laser,002.257, uwb,002.060
2022-05-07 13:00:48, laser,002.296, uwb,002.110
2022-05-07 13:00:48, laser,002.380, uwb,002.150
2022-05-07 13:00:49, laser,002.421, uwb,002.190
2022-05-07 13:00:49, laser,002.461, uwb,002.180
2022-05-07 13:00:49, laser,002.501, uwb,002.270
2022-05-07 13:00:49, laser,002.579, uwb,002.290
2022-05-07 13:00:49, laser,002.620, uwb,002.350
2022-05-07 13:00:49, laser,002.662, uwb,002.370
2022-05-07 13:00:49, laser,002.701, uwb,002.430
2022-05-07 13:00:49, laser,002.778, uwb,002.480
2022-05-07 13:00:50, laser,002.816, uwb,002.560
2022-05-07 13:00:50, laser,002.854, uwb,002.610
2022-05-07 13:00:50, laser,002.892, uwb,002.580
2022-05-07 13:00:50, laser,002.970, uwb,002.730
2022-05-07 13:00:50, laser,003.005, uwb,002.770
2022-05-07 13:00:50, laser,003.042, uwb,002.840
2022-05-07 13:00:50, laser,003.079, uwb,002.900
2022-05-07 13:00:50, laser,003.148, uwb,002.920
2022-05-07 13:00:51, laser,003.182, uwb,002.950
2022-05-07 13:00:51, laser,003.218, uwb,003.030
2022-05-07 13:00:51, laser,003.253, uwb,003.060
2022-05-07 13:00:51, laser,003.325, uwb,003.090
2022-05-07 13:00:51, laser,003.362, uwb,003.090
2022-05-07 13:00:51, laser,003.396, uwb,003.160
2022-05-07 13:00:51, laser,003.433, uwb,003.200
2022-05-07 13:00:51, laser,003.504, uwb,003.250
2022-05-07 13:00:52, laser,003.538, uwb,003.310
2022-05-07 13:00:52, laser,003.573, uwb,003.350
2022-05-07 13:00:52, laser,003.645, uwb,003.440
2022-05-07 13:00:52, laser,003.679, uwb,003.460
2022-05-07 13:00:52, laser,003.679, uwb,003.480
2022-05-07 13:00:52, laser,003.778, uwb,003.530
2022-05-07 13:00:52, laser,003.812, uwb,003.550
2022-05-07 13:00:52, laser,003.844, uwb,003.580
2022-05-07 13:00:53, laser,003.878, uwb,003.640
2022-05-07 13:00:53, laser,003.940, uwb,003.680
2022-05-07 13:00:53, laser,003.973, uwb,003.710
2022-05-07 13:00:53, laser,004.004, uwb,003.730
2022-05-07 13:00:53, laser,004.037, uwb,003.760
2022-05-07 13:00:53, laser,004.100, uwb,003.830
2022-05-07 13:00:53, laser,004.133, uwb,003.880
2022-05-07 13:00:53, laser,004.162, uwb,003.930
2022-05-07 13:00:54, laser,004.191, uwb,003.980
2022-05-07 13:00:54, laser,004.250, uwb,004.000
2022-05-07 13:00:54, laser,004.276, uwb,004.070
2022-05-07 13:00:54, laser,004.301, uwb,004.060
2022-05-07 13:00:54, laser,004.328, uwb,004.070
2022-05-07 13:00:54, laser,004.383, uwb,004.130
2022-05-07 13:00:54, laser,004.411, uwb,004.140
2022-05-07 13:00:54, laser,004.439, uwb,004.230
2022-05-07 13:00:55, laser,004.495, uwb,004.280
2022-05-07 13:00:55, laser,004.523, uwb,004.350
2022-05-07 13:00:55, laser,004.551, uwb,004.450
2022-05-07 13:00:55, laser,004.577, uwb,004.530
2022-05-07 13:00:55, laser,004.623, uwb,004.620
2022-05-07 13:00:55, laser,004.642, uwb,004.640
2022-05-07 13:00:55, laser,004.659, uwb,004.560
2022-05-07 13:00:55, laser,004.675, uwb,004.540
