2022-05-07 14:08:25, laser,001.039, uwb,000.970
2022-05-07 14:08:25, laser,001.042, uwb,000.950
2022-05-07 14:08:25, laser,001.045, uwb,000.950
2022-05-07 14:08:25, laser,001.045, uwb,000.930
2022-05-07 14:08:25, laser,001.053, uwb,000.920
2022-05-07 14:08:25, laser,001.057, uwb,000.940
2022-05-07 14:08:25, laser,001.066, uwb,000.990
2022-05-07 14:08:26, laser,001.074, uwb,000.970
2022-05-07 14:08:26, laser,001.090, uwb,000.940
2022-05-07 14:08:26, laser,001.100, uwb,000.920
2022-05-07 14:08:26, laser,001.108, uwb,000.980
2022-05-07 14:08:26, laser,001.128, uwb,001.010
2022-05-07 14:08:26, laser,001.136, uwb,001.030
2022-05-07 14:08:26, laser,001.147, uwb,001.060
2022-05-07 14:08:26, laser,001.159, uwb,001.080
2022-05-07 14:08:27, laser,001.187, uwb,001.080
2022-05-07 14:08:27, laser,001.201, uwb,001.120
2022-05-07 14:08:27, laser,001.216, uwb,001.160
2022-05-07 14:08:27, laser,001.230, uwb,001.100
2022-05-07 14:08:27, laser,001.263, uwb,001.110
2022-05-07 14:08:27, laser,001.280, uwb,001.110
2022-05-07 14:08:27, laser,001.300, uwb,001.110
2022-05-07 14:08:27, laser,001.318, uwb,001.080
2022-05-07 14:08:28, laser,001.357, uwb,001.090
2022-05-07 14:08:28, laser,001.375, uwb,001.110
2022-05-07 14:08:28, laser,001.392, uwb,001.090
2022-05-07 14:08:28, laser,001.408, uwb,001.160
2022-05-07 14:08:28, laser,001.439, uwb,001.240
2022-05-07 14:08:28, laser,001.454, uwb,001.300
2022-05-07 14:08:28, laser,001.466, uwb,001.280
2022-05-07 14:08:28, laser,001.477, uwb,001.250
2022-05-07 14:08:29, laser,001.498, uwb,001.280
2022-05-07 14:08:29, laser,001.507, uwb,001.280
2022-05-07 14:08:29, laser,001.518, uwb,001.270
2022-05-07 14:08:29, laser,001.539, uwb,001.350
2022-05-07 14:08:29, laser,001.551, uwb,001.400
