2022-05-07 11:46:53, laser,000.935, uwb,000.910
2022-05-07 11:46:54, laser,000.989, uwb,000.980
2022-05-07 11:46:55, laser,001.032, uwb,000.950
2022-05-07 11:46:56, laser,001.175, uwb,001.070
2022-05-07 11:46:57, laser,001.363, uwb,001.170
2022-05-07 11:46:58, laser,001.596, uwb,001.390
2022-05-07 11:46:59, laser,001.724, uwb,001.520
2022-05-07 11:47:00, laser,001.912, uwb,001.750
2022-05-07 11:47:01, laser,002.116, uwb,001.940
2022-05-07 11:47:02, laser,002.320, uwb,002.170
2022-05-07 11:47:03, laser,002.494, uwb,002.420
2022-05-07 11:47:04, laser,002.655, uwb,002.670
2022-05-07 11:47:05, laser,002.835, uwb,002.790
2022-05-07 11:47:06, laser,002.987, uwb,002.870
2022-05-07 11:47:07, laser,003.148, uwb,003.050
2022-05-07 11:47:08, laser,003.299, uwb,003.160
2022-05-07 11:47:09, laser,003.464, uwb,003.300
2022-05-07 11:47:10, laser,003.637, uwb,003.550
2022-05-07 11:47:11, laser,003.779, uwb,003.780
2022-05-07 11:47:12, laser,003.888, uwb,003.860
2022-05-07 11:47:13, laser,004.003, uwb,003.870
2022-05-07 11:47:14, laser,004.146, uwb,004.130
2022-05-07 11:47:15, laser,004.305, uwb,004.100
2022-05-07 11:47:16, laser,004.492, uwb,004.340
2022-05-07 11:47:17, laser,004.674, uwb,004.710
2022-05-07 11:47:18, laser,004.804, uwb,004.760
2022-05-07 11:47:19, laser,004.946, uwb,004.830
2022-05-07 11:47:20, laser,005.104, uwb,004.930
2022-05-07 11:47:21, laser,005.275, uwb,005.160
2022-05-07 11:47:22, laser,005.471, uwb,005.230
2022-05-07 11:47:23, laser,005.621, uwb,005.440
2022-05-07 11:47:24, laser,005.766, uwb,005.590
2022-05-07 11:47:25, laser,005.895, uwb,005.750
2022-05-07 11:47:26, laser,006.026, uwb,005.900
2022-05-07 11:47:27, laser,006.241, uwb,006.060
2022-05-07 11:47:28, laser,006.347, uwb,006.240
2022-05-07 11:47:29, laser,006.462, uwb,006.340
2022-05-07 11:47:30, laser,006.585, uwb,006.410
2022-05-07 11:47:31, laser,006.685, uwb,006.540
2022-05-07 11:47:32, laser,006.791, uwb,006.590
2022-05-07 11:47:33, laser,006.871, uwb,006.700
2022-05-07 11:47:34, laser,006.917, uwb,006.740
2022-05-07 11:47:35, laser,006.910, uwb,006.780
2022-05-07 11:52:01, laser,001.197, uwb,001.030
2022-05-07 11:52:02, laser,001.199, uwb,001.060
2022-05-07 11:52:03, laser,001.212, uwb,001.090
2022-05-07 11:52:04, laser,001.307, uwb,001.220
2022-05-07 11:52:05, laser,001.441, uwb,001.300
2022-05-07 11:52:06, laser,001.607, uwb,001.380
2022-05-07 11:52:07, laser,001.797, uwb,001.610
2022-05-07 11:52:08, laser,001.980, uwb,001.810
2022-05-07 11:52:09, laser,002.185, uwb,002.040
2022-05-07 11:52:10, laser,002.374, uwb,002.250
2022-05-07 11:52:11, laser,002.595, uwb,002.590
2022-05-07 11:52:12, laser,002.775, uwb,002.810
2022-05-07 11:52:13, laser,002.972, uwb,002.930
2022-05-07 11:52:14, laser,003.156, uwb,003.090
2022-05-07 11:52:15, laser,003.360, uwb,003.230
2022-05-07 11:52:16, laser,003.564, uwb,003.490
2022-05-07 11:52:17, laser,003.770, uwb,003.760
2022-05-07 11:52:18, laser,003.994, uwb,003.880
2022-05-07 11:52:19, laser,004.212, uwb,004.230
2022-05-07 11:52:20, laser,004.405, uwb,004.710
2022-05-07 11:52:21, laser,004.563, uwb,004.550
2022-05-07 11:52:22, laser,004.741, uwb,004.730
2022-05-07 11:52:23, laser,004.930, uwb,004.820
2022-05-07 11:52:24, laser,005.100, uwb,004.970
2022-05-07 11:52:25, laser,005.305, uwb,005.130
2022-05-07 11:52:26, laser,005.468, uwb,005.300
2022-05-07 11:52:27, laser,005.650, uwb,005.430
2022-05-07 11:52:28, laser,005.803, uwb,005.650
2022-05-07 11:52:29, laser,005.981, uwb,005.870
2022-05-07 11:52:30, laser,006.148, uwb,006.010
2022-05-07 11:52:31, laser,006.357, uwb,006.140
2022-05-07 11:52:32, laser,006.546, uwb,006.380
2022-05-07 11:52:33, laser,006.670, uwb,006.430
2022-05-07 11:52:34, laser,006.805, uwb,006.580
2022-05-07 11:52:35, laser,006.901, uwb,006.750
2022-05-07 11:55:17, laser,001.024, uwb,000.990
2022-05-07 11:55:18, laser,001.035, uwb,000.960
2022-05-07 11:55:19, laser,001.084, uwb,001.090
2022-05-07 11:55:20, laser,001.162, uwb,001.010
2022-05-07 11:55:21, laser,001.282, uwb,001.110
2022-05-07 11:55:22, laser,001.418, uwb,001.310
2022-05-07 11:55:23, laser,001.544, uwb,001.440
2022-05-07 11:55:24, laser,001.695, uwb,001.490
2022-05-07 11:55:25, laser,001.850, uwb,001.680
2022-05-07 11:55:26, laser,001.993, uwb,001.810
2022-05-07 11:55:27, laser,002.157, uwb,002.040
2022-05-07 11:55:28, laser,002.317, uwb,002.160
2022-05-07 11:55:29, laser,002.472, uwb,002.310
2022-05-07 11:55:30, laser,002.650, uwb,002.480
2022-05-07 11:55:31, laser,002.806, uwb,002.750
2022-05-07 11:55:32, laser,002.959, uwb,002.990
2022-05-07 11:55:33, laser,003.121, uwb,003.110
2022-05-07 11:55:34, laser,003.286, uwb,003.210
2022-05-07 11:55:35, laser,003.465, uwb,003.310
2022-05-07 11:55:36, laser,003.609, uwb,003.550
2022-05-07 11:55:37, laser,003.770, uwb,003.770




































